train_losses,val_losses
30.781263745128047,31.466058671474457
30.753405988428515,31.32111245393753
30.785894434647204,31.781154990196228
30.831733391378275,31.066199719905853
30.845942887547178,30.929803907871246
30.80854631742973,31.24517810344696
30.78211601094419,30.693474650382996
30.82205928517406,31.16146695613861
30.708095292603844,32.22884404659271
30.806310877681202,31.452963709831238
30.778698442669526,31.774760246276855
30.723107388859543,31.091551661491394
30.67400140864145,30.987671613693237
30.71772539403515,30.91255623102188
30.68671081923081,31.15797781944275
30.63245034132988,31.807487428188324
30.67811010231751,30.728709399700165
30.68450342633122,31.331490516662598
30.64349654391143,31.12146830558777
30.741259612222585,31.999623000621796
30.63224971676212,31.43114459514618
30.77801439006982,31.055368065834045
30.628085920394952,34.83344078063965
30.6222196422862,30.99861353635788
30.6437776775971,31.724326014518738
30.645455248415256,31.192160964012146
30.72558487861606,31.626186728477478
30.680698333685932,32.05573672056198
30.66492829373723,31.08786278963089
30.62319112078575,31.09220200777054
30.604775662948228,32.41612768173218
30.692873992105397,31.394750833511353
30.61918664572502,31.058932721614838
30.64994667433335,30.866428315639496
30.628677368164062,32.43769121170044
30.66919062061242,30.843428313732147
30.613036661385642,34.94153010845184
30.615236004052214,30.742458164691925
30.53019639011804,33.50451409816742
30.62728703318966,31.318307876586914
30.71005785931896,31.278219878673553
30.519751192411917,30.82373160123825
30.564678769094662,30.681438207626343
30.65185375145746,30.506229996681213
30.630438115673133,30.90159034729004
30.52030073281285,31.24514389038086
30.62326714322236,30.6254802942276
30.564608774151242,30.794706404209137
30.669511509959808,31.050225496292114
30.576128033132317,30.533335328102112
